id,image,step,text,option_01_text,option_02_text,option_01_nextId,option_02_nextId,card_name,is_dialog,bckn_color,bckn_desktop
0,nokie_cube.png,Dialoguer,*bip boup bidip bip*,Toucher l'objet,Caresser l'objet,1,1,Cube mystérieux,FALSE,#C8E8FD,desktop_bureau.png
1,nokie.png,Dialoguer,"""Salutations, Je suis Nokie ton assistant personnel ! Je t'accompagnerai dans ton travail jusqu'à la fin.""",D'accord,J'ai hâte !,2,2,Nokie,FALSE,#C8E8FD,desktop_bureau.png
2,nokie.png,Dialoguer,"""Yes ! Tu as reçu un mail de ton potentiel premier client!""",Voir le mail,Prendre un café,6,3,Nokie,FALSE,#C8E8FD,desktop_bureau.png
3,cafe.png,Dialoguer,Ton café était dégueulasse mais tu te sens plus réveillé. N'en abuse pas.,Voir le mail,Encore un !,6,4,Bof..,FALSE,#FDF3CD,desktop_bureau.png
4,cafe.png,Dialoguer,Ton café était encore plus dégueu. N'en abuse vraiment pas.,Voir le mail,Encore un !,6,5,Affreux.,FALSE,#FDF3CD,desktop_bureau.png
5,cafe_renv.png,Dialoguer,À la première gorgée de ton café tu sens ton coeur s'affoler et finis par faire une crise cardiaque...,Oh mince...,Zut...,2,2,Sheh,FALSE,#BDBDBD,desktop_bureau.png
6,mail.png,Dialoguer,"""Bonjour , Je m'appelle Gérard et je suis boulanger de père en fils, fils de boulanger.""",Lire la suite,Continuer,7,7,Gégé76@boulangerie.ch,TRUE,#FDF3CD,desktop_bureau.png
7,mail.png,Dialoguer,"""Notre boulangerie se transmet de père en fils depuis 1924. J'aimerai changer le ""design"" du logo. Merci""",Appeler le client et prendre RDV,Faire le bon choix,8,8,Gégé76@boulangerie.ch,FALSE,#FDF3CD,desktop_bureau.png
8,nokie_intello.gif,Dialoguer,"""Ok j'ai noté ton RDV pour demain avec Gérard. T'as ce qu'il te faut ?""","Non, préparer l'entretien","Oui, c'est carré tkt",11,9,Nokie,FALSE,#C8E8FD,desktop_bureau.png
9,glande.png,Dialoguer,Tu ne fais plus rien de la journée et arrive le lendemain les mains vides et repars sans client.,Fuck le capitalisme.,Oupsie,8,8,L'oisiveté,FALSE,#BDBDBD,desktop_bureau.png
10,affiche_perdu.png,Dialoguer,Tu te réveille le lendemain avec un blackout et Gérard est porté disparu...,"Ok, pas d'apéro.",Merde je l'aimais bien,8,8,"Ah bah c'est bien Nils, super !",FALSE,#BDBDBD,desktop_bureau.png
11,gerard.gif,Dialoguer,"L'entretien est préparé. Arrivé sur place, Gérard vous propose de prendre l'apéro.",Non. Définir ses besoins,Yessay,12,10,Gérard,TRUE,#C8E8FD,desktop_bureau.png
12,bureau.png,Découvrir,"Le lendemain au bureau, Nokie t'aide à rédiger le briefing. ",Commencer la conceptualisation,Commencer les recherches sur le client,13,14,Bureau,FALSE,#FDF3CD,desktop_bureau.png
13,kermit.png,Découvrir,"Après une semaine de dur labeur, tu réalises que ton concept est hors-sujet, car le brief n'a jamais été validé par Gégé.",Chier p*****,Haha.,11,11,Pas malin ça,FALSE,#BDBDBD,desktop_bureau.png
14,nokie.png,Découvrir,"""On a presque fini le brief, qu'est ce qu'il manque ?""",Y'a-t-il une doc existante ?,Faire le logo,16,15,Nokie,FALSE,#C8E8FD,desktop_bureau.png
15,nokie_vener.png,Découvrir,"""Tu fais exprès... On est loin d'en être là.""","Oui, pardon..",C'est vrai.,14,14,Nokie pas content,FALSE,#BDBDBD,desktop_bureau.png
